id,term,category,action,proposed_fate,class_fate,drop_basis,core_basis,coherent_frame,frame_axis,frame_siblings,centrality,cross_axis,placement_rationale,over_specificity_reason,needs_review,confidence,reason
254,reservoir rock,Sedimentary Rock,KEEP_AS_BEARER,defined,defined,,REUSABLE_DEFINED_BEARER,False,,[],high,True,property-defined petroleum-system rock class; keeping the bearer preserves a central reusable cross-axis concept,,True,0.84,"bearer kept under 'Sedimentary Rock'; has_disposition some HydrocarbonReservoirDisposition: bucket=Disposition; rock bears a hydrocarbon storage/flow disposition, so keep the bearer under Sedimentary Rock with has_disposition (step 3)."
255,calcarenite,Sedimentary Rock,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,clastic carbonate grain-size class,"[""calcilutite"", ""calcirudite""]",medium,False,"atomic sand-grade member of a standard calciclastic lithology frame, not replaceable by texture classes like grainstone",,False,0.88,"probe1 ok; bucket=None; calcarenite is a genuine sedimentary rock subtype, so the current parent is acceptable."
256,bivalve rudstone,Sedimentary Rock,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,False,specific fossil-composition subtype already covered for core purposes by broader coarse bioclastic carbonate classes,"The core already has rudstone, bioclastic rudstone, and coquina; adding bivalve-dominance contributes only finer facies detail, not an indispensable branch distinction or unique CQ value.",False,0.93,"The core already has rudstone, bioclastic rudstone, and coquina; adding bivalve-dominance contributes only finer facies detail, not an indispensable branch distinction or unique CQ value."
257,siltstone,Sedimentary Rock,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,siliciclastic grain-size lithology,"[""conglomerate"", ""sandstone"", ""claystone""]",medium,False,basic silt-grade siliciclastic lithology needed alongside the other major grain-size rock classes,,True,0.8,probe1 ok; bucket=None; siltstone is a standard siliciclastic sedimentary rock subtype.
258,microbial laminite,Sedimentary Rock,DROP_AS_OVER_SPECIFIC,drop,drop,STACKED_CONTEXT,,False,,[],low,True,intersectional laminitic-plus-microbial subtype is already reconstructable from retained higher-value classes,"With laminite and microbialite already present, microbial laminite adds no distinct core CQ or relation value and mainly expresses a stacked cross-product of two retained axes.",False,0.95,"With laminite and microbialite already present, microbial laminite adds no distinct core CQ or relation value and mainly expresses a stacked cross-product of two retained axes."
259,lacustrine coquina,Sedimentary Rock,DROP_AS_OVER_SPECIFIC,drop,drop,STACKED_CONTEXT,,False,,[],low,True,environment-qualified specialization of an already retained lithology rather than a core branch node,coquina already carries the reusable rock-kind distinction; this term mainly cross-products that lithology with lacustrine depositional context and adds no distinct CQ or relation value needed in the lean core,False,0.94,coquina already carries the reusable rock-kind distinction; this term mainly cross-products that lithology with lacustrine depositional context and adds no distinct CQ or relation value needed in the lean core
260,floatstone,Sedimentary Rock,REPARENT,primitive,primitive,,COHERENT_FRAME_MEMBER,True,coarse-carbonate support texture,"[""rudstone""]",medium,False,standard conventional carbonate texture class paired with rudstone on the same classificatory axis,,False,0.88,parent → carbonate: NLD explicitly says 'matrix-supported carbonate rock'; carbonate is the closer existing genus than generic Sedimentary Rock.
261,marl,Sedimentary Rock,DROP_AS_OVER_SPECIFIC,drop,drop,NO_MARGINAL_VALUE,,False,,[],low,False,valid leaf lithology but not clearly necessary for the lean branch core,"it has no branch-structuring role, no unique CQ contribution, and no indispensable relation endpoint; in this corpus the required query space is already carried by more central retained mudrock and carbonate classes",True,0.66,"it has no branch-structuring role, no unique CQ contribution, and no indispensable relation endpoint; in this corpus the required query space is already carried by more central retained mudrock and carbonate classes"
262,evaporitic deposit,Sedimentary Rock,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],low,True,deposit-level occurrence is better modeled as a body of rock with evaporite composition,the core already has evaporite as the reusable material kind; this term mainly adds deposit-level and Ariri-specific context rather than a needed core lithology class,False,0.93,demoted to Body of Rock + constituted_by evaporite: the core already has evaporite as the reusable material kind; this term mainly adds deposit-level and Ariri-specific context rather than a needed core lithology class
263,spherulitite,Sedimentary Rock,KEEP_AS_DEFINED,defined,defined,,REUSABLE_DEFINED_BEARER,False,,[],medium,True,definition preserves the carbonate-rock base while making the spherulite-bearing criterion explicit,,True,0.84,"defined as carbonate + has_continuant_part some spherulite: spherulite-dominated carbonate is a central Pre-Salt concept that cuts across grainstone, packstone, and wackestone textures and provides a reusable link between grain-scale and rock-scale description"
264,dark shale,Sedimentary Rock,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],low,True,"useful descriptor of shale composition/appearance, but not a necessary core lithology class","the parent shale already carries the branch-level material meaning, while this label mainly adds color/organic-content and local source/seal context rather than a distinct core facies kind",False,0.9,"demoted to shale + has_quality dark organic-rich character: the parent shale already carries the branch-level material meaning, while this label mainly adds color/organic-content and local source/seal context rather than a distinct core facies kind"
265,calcimudstone,Sedimentary Rock,KEEP_AS_DEFINED,defined,defined,,REUSABLE_DEFINED_BEARER,False,,[],medium,True,"retain the calcitic mudstone concept, but as a defined class over existing mudstone and calcite",,True,0.78,"defined as mudstone + constituted_by some calcite: this is a recognized pre-salt lithology with some reuse, yet its differentiator is compositional and is parsimoniously captured from existing core classes rather than as a new primitive"
266,wackstone,Sedimentary Rock,DROP_AS_REDUNDANT,,,,,,,[],,,,,,,near-synonym of sibling 'wackestone' (id=230); spelling variant of the same Dunham facies
267,claystone,Sedimentary Rock,KEEP,primitive,primitive,,BRANCH_ANCHOR,False,,[],high,False,broad reusable lithology kind for clay-dominated fine-grained rock,,True,0.84,Clean genus/differentia: a fine-grained sedimentary rock composed mainly of clay-sized particles; current parent is correct.
268,fascicular calcite crust,Sedimentary Rock,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,in-situ lacustrine carbonate facies,"[""laminite"", ""spherulitestone"", ""microbial laminite"", ""thrombolite"", ""shrubstone""]",medium,False,distinctive pre-salt carbonate facies worth keeping as an atomic member of a small expert facies frame,,True,0.8,"Recognizable carbonate crust material subtype; not a mere quality bundle, and Sedimentary Rock is not clearly wrong."
269,intraclastic deposit,Sedimentary Rock,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],low,True,best handled as an audit-level refinement of carbonate based on intraclast content,"low-frequency, single-CQ term whose main distinction is intraclast dominance in reworked carbonate; core reservoir coverage is not materially expanded by keeping it as a separate class",True,0.76,"demoted to carbonate + has_continuant_part intraclast: low-frequency, single-CQ term whose main distinction is intraclast dominance in reworked carbonate; core reservoir coverage is not materially expanded by keeping it as a separate class"
270,thrombolite,Sedimentary Rock,REPARENT,primitive,primitive,,COHERENT_FRAME_MEMBER,True,microbialite mesostructure,"[""stromatolite""]",medium,False,stable conventional microbialite subtype with a distinct fabric-based identity,,True,0.81,"parent → microbialite: NLD explicitly states that thrombolite is a microbialite, so a more specific existing parent is available."
271,carbonate shale,Sedimentary Rock,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],low,True,capture as carbonate-bearing shale rather than a separate core class,"the term adds a useful lithologic modifier but little independent CQ value beyond shale plus carbonate composition, and it functions mainly as a basinward sealing-facies refinement",True,0.85,"demoted to shale + constituted_by carbonate: the term adds a useful lithologic modifier but little independent CQ value beyond shale plus carbonate composition, and it functions mainly as a basinward sealing-facies refinement"
272,pre-salt carbonate,Sedimentary Rock,KEEP_AS_DEFINED,defined,defined,,REUSABLE_DEFINED_BEARER,False,,[],high,True,definition keeps the reusable carbonate kind while making the domain-defining stratigraphic scope explicit,,True,0.82,"defined as carbonate + located_in some brazilian pre-salt: despite being context-scoped, this is the named reservoir-material concept of the domain, with strong relation evidence and CQ value not supplied by generic carbonate alone"
273,spherulitic carbonate,Sedimentary Rock,KEEP_AS_DEFINED,defined,defined,,REUSABLE_DEFINED_BEARER,False,,[],medium,True,"captures the spherulite-bearing carbonate family that cuts across packstone, grainstone, and spherulitestone variants",,False,0.9,defined as carbonate + has_continuant_part some spherulite: important organizing concept for hallmark pre-salt facies; it supports a reusable grouping not provided by carbonate alone and is naturally expressed through the spherulite part relation
274,ostracod,object,REPARENT,primitive,primitive,,COHERENT_FRAME_MEMBER,True,skeletal fossil/bioclast type,"[""bivalve""]",medium,False,atomic conventional fossil-object kind reused in carbonate facies description and biostratigraphic interpretation,,True,0.82,"parent → Fossil: The NLD places ostracods as occurrences in wackestones, packstones, and grainstones and as a basis for biostratigraphy, which in this ontology context entails preserved rock-embedded ostracod remains rather than living organisms. That makes Fossil a more specific fit than generic object."
275,petroleum system,object aggregate,KEEP,primitive,primitive,,RELATION_ENDPOINT,False,,[],high,False,"Petroleum system is the needed systems-level aggregate for relating source rock, seal, reservoir, trap, and migration elements under one reusable geological unit rather than leaving them only as disconnected objects under object aggregate.",,False,0.89,"NLD describes a real aggregate of related source rocks, reservoirs, seals and traps; object aggregate is defensible and no better existing genus is evidenced (steps 4,6)."
276,Stratigraphic Interval,Stratigraphic Unit,DROP_AS_REDUNDANT,,,,,,,[],,,,,,,"intermediate one-off bridge: 'bounded interval within a succession' just redescribes any stratigraphic unit, so this adds no distinct kind-level differentia (Check 2)"
277,Tectonostratigraphic Supersequence,Stratigraphic Unit,REPARENT,primitive,primitive,,SHARED_GENUS,False,,[],high,False,reusable genus for the basin-evolution supersequence classes already present in the branch,,False,0.92,parent → Stratigraphic Unit: A tectonostratigraphic supersequence is explicitly defined as a kind of stratigraphic unit.
278,lower cretaceous,Stratigraphic Unit,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Named chronostratigraphic unit/series; there is one Lower Cretaceous, so it should be an instance, not a subclass (step 1)."
279,pre-salt,Stratigraphic Unit,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],high,False,domain-central named stratigraphic interval directly used to scope the Brazilian pre-salt reservoir system,,False,0.97,"NLD defines a real pre-salt interval beneath the Aptian evaporite seal; parent Stratigraphic Interval fits (steps 4,6)."
280,brazilian pre-salt,Stratigraphic Unit,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"NLD and location evidence describe one regional petroleum/stratigraphic domain in Santos/Campos basins, so convert to an instance (step 1)."
281,cyclothem,Stratigraphic Unit,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],medium,False,"conventional stratigraphic unit for repeated meter-scale facies cycles, needed for vertical architecture and scale-sensitive reasoning",,True,0.83,"NLD gives a recurrent meter-scale stratigraphic succession with specific facies parts; parent Stratigraphic Unit is acceptable (probe1, step6)."
282,upper aptian,Stratigraphic Unit,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"Named Upper Aptian denotes one chronostratigraphic/time subdivision, not a reusable stratigraphic-unit class; convert per step1."
283,pre-salt section,Stratigraphic Unit,DROP_AS_OVER_SPECIFIC,drop,drop,STACKED_CONTEXT,,False,,[],low,True,best excluded from the lean core because it packages the interval with a contextual 'section' framing rather than introducing a clearly distinct reusable kind,the term is a context-bound way of talking about the succession and does not add branch structure or a distinct core relation role sufficient to justify a separate class in the minimal ontology,True,0.69,the term is a context-bound way of talking about the succession and does not add branch structure or a distinct core relation role sufficient to justify a separate class in the minimal ontology
284,post-rift supersequence,Stratigraphic Unit,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,tectonostratigraphic basin-evolution stage,"[""rift super-sequence"", ""drift super-sequence""]",medium,False,Canonical post-rift member of the small tectonostratigraphic supersequence stage set under an existing parent.,,False,0.91,"Genus matches exactly: it is a tectonostratigraphic supersequence for the post-rift basin stage, so KEEP (probe1)."
285,rift section,Stratigraphic Unit,DROP_AS_OVER_SPECIFIC,drop,drop,NO_MARGINAL_VALUE,,False,,[],low,False,Interval-style phrasing for the rift portion of the succession is not needed in the lean core once a generic interval parent and a retained formal rift-stage unit are present.,"It adds no indispensable branch anchor, coherent-frame slot, or unique CQ capability beyond retained interval and tectonostratigraphic rift-stage classes.",True,0.71,"It adds no indispensable branch anchor, coherent-frame slot, or unique CQ capability beyond retained interval and tectonostratigraphic rift-stage classes."
286,drift super-sequence,Stratigraphic Unit,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,tectonostratigraphic basin-evolution stage,"[""rift super-sequence"", ""post-rift supersequence""]",medium,False,Conventional drift-stage supersequence that completes the basin-evolution supersequence frame.,,False,0.87,"Probe1 OK: NLD describes a tectonostratigraphic supersequence of the passive-margin drift stage; differentia is substantive, not redundant."
287,rift super-sequence,Stratigraphic Unit,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,tectonostratigraphic basin-evolution stage,"[""post-rift supersequence"", ""drift super-sequence""]",high,False,Captures the canonical syn-rift member of the tectonostratigraphic supersequence frame used to organize Pre-Salt basin evolution.,,False,0.94,Probe1 OK: NLD gives a genuine rift-stage tectonostratigraphic supersequence; syn-rift extensional context adds real differentia.
288,rift sequence,Stratigraphic Unit,DROP_AS_OVER_SPECIFIC,drop,drop,NO_MARGINAL_VALUE,,False,,[],low,False,An extra rift-stage unit label is not needed in the lean core once the rift super-sequence is retained as the formal tectonostratigraphic stage unit.,"Although attested, it does not add unique CQ coverage, a required genus, or indispensable relation endpoints beyond the retained rift-stage framing already present in the branch.",True,0.74,"Although attested, it does not add unique CQ coverage, a required genus, or indispensable relation endpoints beyond the retained rift-stage framing already present in the branch."
289,disposition,realizable entity,KEEP,primitive,primitive,,BRANCH_ANCHOR,False,,[],high,False,Keep the canonical disposition subbranch so retained realizable properties in this area have a stable and reusable parent under realizable entity.,,False,0.97,"Standard BFO subclass: the NLD defines disposition as a realizable entity realized in processes, so the parent fits."
290,permeability,realizable entity,REPARENT,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],high,False,"Keep as a primitive, domain-central reservoir property because it captures a specific fluid-transmission capacity borne by reservoir rock.",,False,0.93,parent → Petrophysical Property: Permeability is explicitly defined as a specific petrophysical property concerned with fluid transmissibility.
291,reservoir quality,realizable entity,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],medium,True,Represent it as an attribute on reservoir rock rather than a standalone core class.,"Although common in the literature, reservoir quality is chiefly an analysis-level summary descriptor derived from more fundamental petrophysical properties, so a lean core does not need it as a separate realizable-entity class.",True,0.84,"demoted to reservoir rock + has_quality reservoir quality: Although common in the literature, reservoir quality is chiefly an analysis-level summary descriptor derived from more fundamental petrophysical properties, so a lean core does not need it as a separate realizable-entity class."
292,Petrophysical Property,quality,KEEP,primitive,primitive,,BRANCH_ANCHOR,False,,[],high,False,top-level reusable genus for reservoir petrophysical qualities under quality,,False,0.96,"A genuine subtype of quality; the differentia adds petrophysical scope to rocks/reservoirs, so it is not vacuous."
293,porosity,quality,KEEP,primitive,primitive,,SHARED_GENUS,False,,[],high,False,central reusable reservoir-property kind with strong evidence and a substantial subtype structure,,False,0.98,"A genuine petrophysical quality; the differentia specifies void-space fraction, so the parent genus is correct and non-redundant."
294,Porosity Type,quality,DROP_AS_OVER_SPECIFIC,drop,drop,NO_MARGINAL_VALUE,,False,,[],low,False,extra intermediate layer adds little core value beyond porosity in a lean model,"it has no direct CQ or relation evidence, and the branch already places several comparable porosity subclasses directly under porosity, so this grouping is not needed in the core",False,0.85,"it has no direct CQ or relation evidence, and the branch already places several comparable porosity subclasses directly under porosity, so this grouping is not needed in the core"
295,interparticle porosity,quality,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],medium,False,"useful descriptive pore subtype, but too specific for the lean core once porosity is retained","although attested, it contributes no unique CQ coverage or indispensable generic relation beyond porosity; detailed pore-type inventories are better left to extension modules",True,0.74,"although attested, it contributes no unique CQ coverage or indispensable generic relation beyond porosity; detailed pore-type inventories are better left to extension modules"
296,intergranular porosity,quality,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,False,leaf-level pore-texture subtype not required for the core quality branch,"it is a specific porosity subtype with limited evidence and no unique CQ or relation role beyond the parent concept, so the core can omit this level of detail",False,0.88,"it is a specific porosity subtype with limited evidence and no unique CQ or relation role beyond the parent concept, so the core can omit this level of detail"
297,intraparticle porosity,quality,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,False,specific grain-internal pore subtype is better handled in an extended pore-type inventory than in the lean core,"It is a valid conventional pore type, but the core already captures porosity and a broader porosity-type axis; this within-grain subtype adds descriptive carbonate microtexture detail without distinct CQ coverage or reusable relation value.",True,0.79,"It is a valid conventional pore type, but the core already captures porosity and a broader porosity-type axis; this within-grain subtype adds descriptive carbonate microtexture detail without distinct CQ coverage or reusable relation value."
298,microporosity,quality,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],high,False,reusable reservoir-quality kind with distinctive flow/storage implications not supplied by generic porosity,,False,0.91,"Micrometer-scale pores define a standard size-based subtype of porosity, not a separate site/process entity (probes 1,3)."
299,effective porosity,quality,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],high,True,standard operational petrophysical property needed for reservoir evaluation and production reasoning,,False,0.89,"Interconnected fluid-contributing pore volume is a standard subtype of porosity, not merely a separate disposition for flow (probes 1,3)."
300,fracture porosity,quality,REPARENT,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],medium,True,distinctive fracture-hosted porosity concept adds a reservoir-flow distinction not captured by separate structure and porosity classes,,True,0.8,parent → porosity: NLD explicitly defines fracture porosity as 'a non-matrix porosity type'; placing it under secondary porosity is too narrow because the NLD allows primary or diagenetic origin.
301,matrix porosity,quality,DROP_AS_OVER_SPECIFIC,drop,drop,NO_MARGINAL_VALUE,,False,,[],low,True,"useful as an extension-level partition of porosity, but not necessary in the minimal core","Its evidence is mainly partonomic ('component of rock porosity') and its CQ contribution is largely subsumed by porosity, effective porosity, and retained fracture-related distinctions; the core loses little if this matrix-hosted partition is deferred.",True,0.68,"Its evidence is mainly partonomic ('component of rock porosity') and its CQ contribution is largely subsumed by porosity, effective porosity, and retained fracture-related distinctions; the core loses little if this matrix-hosted partition is deferred."
302,pore connectivity,quality,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],medium,False,"distinct pore-network flow property under Petrophysical Property, not reducible to pore-volume measures alone",,False,0.9,"NLD explicitly defines pore connectivity as a petrophysical property; differentia is a genuine quality characterization, not another BFO entity."
303,reservoir heterogeneity,quality,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],high,True,broad reservoir-scale quality capturing spatial variability across facies and petrophysical properties rather than a single local measurement,,False,0.88,Reservoir heterogeneity is itself a dependent reservoir quality; generic parent quality is acceptable and no clearer existing genus is evidenced.
304,acoustic impedance,quality,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,False,specific derived geophysical-response attribute is better left to an extension once the core storage and flow qualities are established,"acoustic impedance has only modest attestation, answers the same broad CQ as the parent branch, and mainly serves as a seismic/log proxy for porosity and facies rather than an indispensable core reservoir-quality distinction",True,0.75,"acoustic impedance has only modest attestation, answers the same broad CQ as the parent branch, and mainly serves as a seismic/log proxy for porosity and facies rather than an indispensable core reservoir-quality distinction"
305,Field,site,DROP_AS_OVER_SPECIFIC,drop,drop,NO_MARGINAL_VALUE,,False,,[],low,False,"valid site kind, but this lean site core shows no CQ demand, no relation-endpoint use, and no branch-structuring role for it",Field has zero corpus/CQ evidence in this slice and no retained children; keeping it would add a broad operational unit without demonstrated marginal value to the geological site core.,True,0.74,Field has zero corpus/CQ evidence in this slice and no retained children; keeping it would add a broad operational unit without demonstrated marginal value to the geological site core.
306,Pore,site,KEEP,primitive,primitive,,SHARED_GENUS,False,,[],high,False,reusable genus needed to organize multiple retained pore-site subtypes,,False,0.97,"A pore is genuinely a void-within-rock site subtype; storage/flow language is ancillary, not grounds for mixin treatment (steps 3,6)."
307,accommodation space,site,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],medium,False,distinct depositional-space kind that answers a site CQ not supplied by generic site or neighboring structural-setting classes,,False,0.86,"Standard geological site type for space available to receive sediment; process causes do not make it a process or vacuous term (steps 3,6)."
308,vug,site,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,pore type,"[""micropore"", ""interparticle pore"", ""cave""]",high,False,"atomic conventional pore-type kind within a small, reused reservoir-porosity frame",,False,0.95,"A vug is a recognized secondary pore subtype; dissolution gives etiology, not a misclassified process/quality mixin (steps 3,6)."
309,tupi field,site,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,Proper-noun named petroleum field; it denotes one specific field and should be modeled as an instance of site (step 1).
310,búzios field,site,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"proper-noun named oil field; it denotes one field only, so use instance typing, not subclassing (step 1)"
311,mero field,site,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"proper-noun named oil field; it denotes one field only, so use instance typing, not subclassing (step 1)"
312,sapinhoá field,site,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"proper-noun named oil field; it denotes one field only, so use instance typing, not subclassing (step 1)"
313,pore throat,site,REPARENT,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],medium,False,"distinct microstructural site kind needed to represent connectivity constrictions, not just pore bodies",,True,0.84,parent → Pore: The NLD defines pore throat as a constricted rock void/opening that connects pore bodies; within the available site hierarchy this is more specific than site and fits under Pore as a specialized pore-space element.
314,atapu field,site,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,"proper-noun named oil field; it denotes one field only, so use instance typing, not subclassing (step 1)"
315,lula field,site,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,proper-noun named hydrocarbon field; step 1 converts named geological individuals to instances
316,ultra-deep water,site,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],low,True,best handled as a bathymetric context attached to a site/field,"Its CQ contribution is positional only, and the differentiator is a depth threshold in present-day water cover; the core loses little by modeling this as a site quality instead of a class.",False,0.9,"demoted to site + has_quality ultra-deep-water bathymetric setting: Its CQ contribution is positional only, and the differentiator is a depth threshold in present-day water cover; the core loses little by modeling this as a site quality instead of a class."
317,sururu field,site,CONVERT_TO_INSTANCE,,,,,,,[],,,,,,,proper-noun named hydrocarbon field; step 1 converts named geological individuals to instances
318,micropore,site,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],medium,False,retained as a core pore subtype because submicron pore space is a stable and reservoir-relevant site kind,,True,0.79,submicron pore is a bona fide pore subtype; single-axis guard keeps pore kinds under Pore/site
319,structural domain,site,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],high,False,needed as a reusable basin-scale site kind for tectonic segmentation,,False,0.86,a structural domain is a basin subdivision/site distinguished by coherent fault style; no better existing genus is evidenced
320,cave,site,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,False,too specific a large-cavity subtype to justify core status,"Cave denotes a specialized meter-scale karstic cavity within rock; for a lean core, pore representation is adequately covered by Pore and broader pore classes without retaining this extreme size/karst specialization.",True,0.83,"Cave denotes a specialized meter-scale karstic cavity within rock; for a lean core, pore representation is adequately covered by Pore and broader pore classes without retaining this extreme size/karst specialization."
321,paleohigh,site,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],medium,False,retained to capture depositional paleo-relief as a recurrent site kind,,True,0.82,"A paleohigh is a genuine paleotopographic site type; the bathymetry wording is descriptive, not grounds to reclassify it (step 6)."
322,interparticle pore,site,KEEP,primitive,primitive,,UNIQUE_CQ_VALUE,False,,[],medium,False,"retaining a canonical between-particle matrix pore kind preserves a pore-type distinction that the parent Pore is too generic to capture and that is not covered by siblings such as vug, cave, or micropore",,True,0.84,"Genus/differentia is clean: it is a pore distinguished by occurring between adjacent particles, which adds real subtype content (step 6)."
323,Carbonate Mineral,Earth Material,KEEP,primitive,primitive,,BRANCH_ANCHOR,False,,[],high,False,"subbranch anchor for carbonate earth materials, needed to organize multiple retained and attested carbonate mineral kinds under Earth Material",,False,0.96,Carbonate-mineral composition gives a genuine material subkind; parent Earth Material is acceptable.
324,dolomite,Earth Material,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,carbonate mineral identity,"[""calcite"", ""aragonite"", ""dawsonite"", ""magnesite""]",high,False,"atomic carbonate mineral kind with stable identity, major corpus presence, and clear placement under Carbonate Mineral",,False,0.98,Dolomite is a standard carbonate mineral species; genus/differentia are clean material taxonomy.
325,saddle dolomite,Earth Material,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],low,True,"modifier-heavy petrographic refinement of dolomite, better handled as a facet on the retained mineral class","Core CQ coverage is already supplied by dolomite; this term mainly adds habit and diagenetic context, so retaining it as a class would over-specify the lean material core.",True,0.88,"demoted to dolomite + has_quality saddle crystal habit: Core CQ coverage is already supplied by dolomite; this term mainly adds habit and diagenetic context, so retaining it as a class would over-specify the lean material core."
326,calcite,Earth Material,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,carbonate mineral identity,"[""dolomite"", ""aragonite"", ""dawsonite"", ""magnesite""]",high,False,atomic carbonate mineral kind and central reservoir constituent with stable placement under Carbonate Mineral,,False,0.98,Calcite is a standard carbonate mineral species; parent Carbonate Mineral is correct.
327,microcrystalline calcite,Earth Material,DEMOTE_TO_PROPERTY,demote,demote,,,False,,[],low,True,textural specialization of calcite that is better represented as a quality facet on the retained mineral class,"Once calcite is retained, little core value is added by a separate class for microcrystalline calcite; the distinction is mainly petrographic granularity rather than a distinct earth-material kind.",False,0.93,"demoted to calcite + has_quality microcrystallinity: Once calcite is retained, little core value is added by a separate class for microcrystalline calcite; the distinction is mainly petrographic granularity rather than a distinct earth-material kind."
328,aragonite,Earth Material,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,carbonate mineral species,"[""calcite"", ""dolomite""]",medium,False,retain as a conventional carbonate-mineral member needed to represent metastable original CaCO3 material distinct from calcite and dolomite,,False,0.86,"Aragonite is a genuine carbonate mineral kind; metastability and alteration to calcite are contextual, not taxonomic (steps 3,6)."
329,dawsonite,Earth Material,DROP_AS_OVER_SPECIFIC,drop,drop,NARROW_EXTENSION_DETAIL,,False,,[],low,False,specific trace accessory carbonate mineral; the lean core can stay at the broader carbonate-mineral level,"Dawsonite is described as a sparse late-diagenetic accessory phase, commonly below 5 wt.%, with low frequency and limited branch role; its absence would remove little from the core material model beyond a narrow paragenetic detail.",False,0.93,"Dawsonite is described as a sparse late-diagenetic accessory phase, commonly below 5 wt.%, with low frequency and limited branch role; its absence would remove little from the core material model beyond a narrow paragenetic detail."
330,magnesite,Earth Material,DROP_AS_OVER_SPECIFIC,drop,drop,NO_MARGINAL_VALUE,,False,,[],low,False,localized secondary replacement product is better handled through broader carbonate-mineral and diagenesis classes,Magnesite is a low-frequency secondary phase tied to Mg-clay replacement and shrinkage-pore fill in specific diagenetic settings; Carbonate Mineral together with mg-clay and diagenesis already preserves the core explanatory structure.,True,0.84,Magnesite is a low-frequency secondary phase tied to Mg-clay replacement and shrinkage-pore fill in specific diagenetic settings; Carbonate Mineral together with mg-clay and diagenesis already preserves the core explanatory structure.
331,silica,Earth Material,KEEP,primitive,primitive,,SHARED_GENUS,False,,[],high,False,broad reusable silica-material genus needed by multiple retained silica subtypes and relations,,False,0.98,"Silica is a real earth material kind; Earth Material is broad but acceptable, and no better existing parent is available (steps 4,6)."
332,Silica Phase,Earth Material,DROP_AS_REDUNDANT,,,,,,,[],,,,,,,"The child just restates parent silica as a silicon-dioxide mineral phase, adding no narrowing differentia (step 5)."
333,chalcedony,Earth Material,KEEP,primitive,primitive,,COHERENT_FRAME_MEMBER,True,silica phase,"[""quartz"", ""microcrystalline silica""]",medium,False,retain as a distinct recurrent silica phase used separately from quartz in reservoir silicification descriptions,,False,0.9,NLD explicitly says chalcedony is a microcrystalline silica phase; parent genus is correct and non-vacuous (steps 4/6).
